Controlled HTTP target listening on http://127.0.0.1:8080
Synthetic banner service listening on 127.0.0.1:2222
HTTP 127.0.0.1 - "HEAD / HTTP/1.1" 200 -
HTTP 127.0.0.1 - "GET / HTTP/1.0" 200 -
HTTP 127.0.0.1 - "GET /nmaplowercheck1788218629 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET / HTTP/1.0" 200 -
HTTP 127.0.0.1 - code 501, message Unsupported method ('POST')
HTTP 127.0.0.1 - "POST /sdk HTTP/1.1" 501 -
HTTP 127.0.0.1 - "GET /HNAP1 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /evox/about HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET / HTTP/1.0" 200 -
HTTP 127.0.0.1 - "GET / HTTP/1.1" 200 -
HTTP 127.0.0.1 - "HEAD / HTTP/1.1" 200 -
HTTP 127.0.0.1 - "GET / HTTP/1.1" 200 -
HTTP 127.0.0.1 - "GET / HTTP/1.1" 200 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.zip HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.chl+ HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.js HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.signature HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.pm HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.list HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.properties HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.ml HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.jsp HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.htm HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.box HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.pwd HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.stat HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.jse HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.tcl HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.Big5 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.VALIDATE_STMT HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.bas:ShowVolume HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.rdf+destype=cache+desformat=PDF HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.aspx HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.inc HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.show_query_columns HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.jsa HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.PWD HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.db HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.SHOW HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.SMAIL893 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.shm HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.php4 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.cs HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.LOG HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.log HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.TXT HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.csp HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.iso2022-kr HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.nlm HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.pdf HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.showsource HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.cp866 HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.passwd HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.cnf HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.inc+ HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.ca HTTP/1.1" 404 -
HTTP 127.0.0.1 - "GET /6RXgzTi4.html+ HTTP/1.1" 404 -
